,pixel count,update rate,iterations,kernel size,time rate,detection rate
399,14,25,2,7,35.73739171028137,49.33135215453195
400,14,25,2,9,37.961917877197266,51.75829618623081
401,14,25,2,11,59.02623701095581,45.76523031203566
402,14,25,2,13,64.29075908660889,38.236750866765725
403,14,25,2,15,64.79038548469543,31.054977711738484
404,14,25,2,17,66.84499979019165,26.399207528479444
405,14,25,2,19,71.19102907180786,10.698365527488855
406,14,30,1,7,34.895883321762085,7.033184744923229
407,14,30,1,9,35.713672399520874,19.316493313521544
408,14,30,1,11,42.92499279975891,32.788509162951954
409,14,30,1,13,63.01751184463501,49.77711738484398
410,14,30,1,15,64.04496479034424,53.789004457652304
411,14,30,1,17,64.33961749076843,52.15453194650817
412,14,30,1,19,66.22456741333008,50.61911837543338
413,14,30,2,7,35.30752110481262,49.0837048043586
414,14,30,2,9,37.929972887039185,52.05547300643883
415,14,30,2,11,58.422372817993164,45.71570084200099
416,14,30,2,13,62.688493967056274,38.335809806835066
417,14,30,2,15,63.959874868392944,31.054977711738484
418,14,30,2,17,65.99971318244934,26.448736998514114
419,14,30,2,19,69.86222195625305,10.698365527488855
420,16,5,1,7,48.20776557922363,16.592372461614662
421,16,5,1,9,49.30313205718994,31.996037642397226
422,16,5,1,11,56.92458176612854,47.25111441307578
423,16,5,1,13,73.8943419456482,56.364536899455175
424,16,5,1,15,75.86075520515442,55.225359088657754
425,16,5,1,17,76.78880310058594,50.9162951956414
426,16,5,1,19,79.40025401115417,50.123823675086676
427,16,5,2,7,48.518616676330566,55.72065378900446
428,16,5,2,9,50.95308971405029,50.56958890539871
429,16,5,2,11,68.33379292488098,45.41852402179297
430,16,5,2,13,74.12218475341797,37.79098563645369
431,16,5,2,15,77.22061061859131,30.65874195146112
432,16,5,2,17,79.57296442985535,26.300148588410103
433,16,5,2,19,83.25790548324585,10.698365527488855
434,16,10,1,7,41.11636996269226,7.627538385339277
435,16,10,1,9,42.12117409706116,22.88261515601783
436,16,10,1,11,49.01899218559265,42.00099058940069
437,16,10,1,13,67.25917482376099,53.888063397721645
438,16,10,1,15,67.24342679977417,54.928182268449724
439,16,10,1,17,69.61992835998535,51.21347201584943
440,16,10,1,19,72.14415264129639,50.27241208519069
441,16,10,2,7,41.51883292198181,53.04606240713225
442,16,10,2,9,44.5337929725647,50.86676572560673
443,16,10,2,11,63.938230752944946,46.161466072313026
444,16,10,2,13,67.82251000404358,38.63298662704309
445,16,10,2,15,69.65624141693115,31.352154531946507
446,16,10,2,17,72.07645678520203,26.498266468548785
447,16,10,2,19,76.11877727508545,10.698365527488855
448,16,15,1,7,38.36119627952576,6.33977216443784
449,16,15,1,9,38.93230366706848,19.61367013372957
450,16,15,1,11,48.35837388038635,36.20604259534423
451,16,15,1,13,64.28478527069092,52.30312035661218
452,16,15,1,15,65.56060028076172,51.21347201584943
453,16,15,1,17,67.2338273525238,52.9470034670629
454,16,15,1,19,69.90611910820007,51.312530955918774
455,16,15,2,7,38.68663311004639,51.6097077761268
456,16,15,2,9,40.89743900299072,52.550767706785535
457,16,15,2,11,61.25692343711853,45.91381872213967
458,16,15,2,13,63.606536865234375,38.335809806835066
459,16,15,2,15,66.7257776260376,31.203566121842496
460,16,15,2,17,69.10936379432678,26.54779593858346
461,16,15,2,19,75.40060997009277,10.698365527488855
462,16,20,1,7,36.52037000656128,6.438831104507182
463,16,20,1,9,37.641252756118774,20.307082714214957
464,16,20,1,11,46.69035339355469,33.53145121347202
465,16,20,1,13,63.39538526535034,53.04606240713225
466,16,20,1,15,65.18556690216064,55.473006438831106
467,16,20,1,17,65.7423825263977,53.14512134720159
468,16,20,1,19,67.49136924743652,51.21347201584943
469,16,20,2,7,36.55217742919922,51.461119366022785
470,16,20,2,9,37.87358641624451,52.69935611688955
471,16,20,2,11,58.301841259002686,45.81475978207033
472,16,20,2,13,64.59166836738586,38.187221396731054
473,16,20,2,15,65.9820065498352,31.154036651807825
474,16,20,2,17,67.52016544342041,26.54779593858346
475,16,20,2,19,70.98740816116333,10.698365527488855
476,16,25,1,7,35.476454973220825,5.943536404160476
477,16,25,1,9,35.97281241416931,20.950965824665676
478,16,25,1,11,43.1520791053772,33.333333333333336
479,16,25,1,13,62.80946350097656,50.56958890539871
480,16,25,1,15,64.08752799034119,53.24418028727093
481,16,25,1,17,64.64800667762756,52.05547300643883
482,16,25,1,19,66.62652134895325,50.61911837543338
483,16,25,2,7,35.95206952095032,49.33135215453195
484,16,25,2,9,38.47682476043701,51.75829618623081
485,16,25,2,11,58.89448523521423,45.76523031203566
486,16,25,2,13,62.341166257858276,38.236750866765725
487,16,25,2,15,64.72267651557922,31.054977711738484
488,16,25,2,17,67.0242919921875,26.399207528479444
489,16,25,2,19,70.62181830406189,10.698365527488855
490,16,30,1,7,35.14287042617798,7.033184744923229
491,16,30,1,9,35.74920105934143,19.316493313521544
492,16,30,1,11,45.33003854751587,32.788509162951954
493,16,30,1,13,60.29301357269287,49.77711738484398
494,16,30,1,15,60.53071475028992,53.789004457652304
495,16,30,1,17,64.05461192131042,52.15453194650817
496,16,30,1,19,66.08395791053772,50.61911837543338
497,16,30,2,7,35.14672255516052,49.0837048043586
498,16,30,2,9,38.217848777770996,52.05547300643883
499,16,30,2,11,59.414193868637085,45.71570084200099
500,16,30,2,13,60.880146741867065,38.335809806835066
501,16,30,2,15,63.48843789100647,31.054977711738484
502,16,30,2,17,66.74464416503906,26.448736998514114
503,16,30,2,19,70.88313603401184,10.698365527488855
