,pixel count,update rate,iterations,kernel size,time rate,detection rate
145,7,25,1,17,63.25575256347656,52.05547300643883
146,7,25,1,19,66.80589056015015,50.61911837543338
147,7,25,2,7,35.429632902145386,49.33135215453195
148,7,25,2,9,37.850205421447754,51.75829618623081
149,7,25,2,11,57.05132555961609,45.76523031203566
150,7,25,2,13,62.24468183517456,38.236750866765725
151,7,25,2,15,63.143484592437744,31.054977711738484
152,7,25,2,17,66.54602885246277,26.399207528479444
153,7,25,2,19,73.47569417953491,10.698365527488855
154,7,30,1,7,34.85618305206299,7.033184744923229
155,7,30,1,9,36.24498510360718,19.316493313521544
156,7,30,1,11,47.48032832145691,32.788509162951954
157,7,30,1,13,59.09664297103882,49.77711738484398
158,7,30,1,15,63.42188024520874,53.789004457652304
159,7,30,1,17,64.37020802497864,52.15453194650817
160,7,30,1,19,66.15313410758972,50.61911837543338
161,7,30,2,7,35.21473431587219,49.0837048043586
162,7,30,2,9,37.15469026565552,52.05547300643883
163,7,30,2,11,57.30438423156738,45.71570084200099
164,7,30,2,13,62.43739366531372,38.335809806835066
165,7,30,2,15,63.364245891571045,31.054977711738484
166,7,30,2,17,65.85402369499207,26.448736998514114
167,7,30,2,19,72.80462670326233,10.698365527488855
168,9,5,1,7,49.46539235115051,16.592372461614662
169,9,5,1,9,49.303730964660645,31.996037642397226
170,9,5,1,11,57.81421208381653,47.25111441307578
171,9,5,1,13,73.70359134674072,56.364536899455175
172,9,5,1,15,76.75880026817322,55.225359088657754
173,9,5,1,17,76.5491235256195,50.9162951956414
174,9,5,1,19,79.331463098526,50.123823675086676
175,9,5,2,7,49.27275323867798,55.72065378900446
176,9,5,2,9,53.81359386444092,50.56958890539871
177,9,5,2,11,70.88362097740173,45.41852402179297
178,9,5,2,13,74.48358035087585,37.79098563645369
179,9,5,2,15,76.51951575279236,30.65874195146112
180,9,5,2,17,79.12673664093018,26.300148588410103
181,9,5,2,19,84.92248320579529,10.698365527488855
182,9,10,1,7,40.92213678359985,7.627538385339277
183,9,10,1,9,41.396119117736816,22.88261515601783
184,9,10,1,11,43.978227376937866,42.00099058940069
185,9,10,1,13,64.95293641090393,53.888063397721645
186,9,10,1,15,68.28250002861023,54.928182268449724
187,9,10,1,17,70.60536336898804,51.21347201584943
188,9,10,1,19,72.04018187522888,50.27241208519069
189,9,10,2,7,43.09187912940979,53.04606240713225
190,9,10,2,9,50.53289437294006,50.86676572560673
191,9,10,2,11,64.16029500961304,46.161466072313026
192,9,10,2,13,65.97719168663025,38.63298662704309
193,9,10,2,15,69.7230064868927,31.352154531946507
194,9,10,2,17,73.19171214103699,26.498266468548785
195,9,10,2,19,81.8662600517273,10.698365527488855
196,9,15,1,7,38.32884502410889,6.33977216443784
197,9,15,1,9,38.70874285697937,19.61367013372957
198,9,15,1,11,46.145411014556885,36.20604259534423
199,9,15,1,13,64.25595998764038,52.30312035661218
200,9,15,1,15,66.53027629852295,51.21347201584943
201,9,15,1,17,66.74953413009644,52.9470034670629
202,9,15,1,19,69.09675216674805,51.312530955918774
203,9,15,2,7,38.3742516040802,51.6097077761268
204,9,15,2,9,41.14963889122009,52.550767706785535
205,9,15,2,11,62.50446438789368,45.91381872213967
206,9,15,2,13,65.67766261100769,38.335809806835066
207,9,15,2,15,66.9419515132904,31.203566121842496
208,9,15,2,17,69.02685713768005,26.54779593858346
